,0,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,0,0,0.825739942,0,0,0.298118197,-0.010313192,0.298118197,-0.213569339,0.002781231,0,-0.010313192,-0.213569339,-0.010313192,0.685639421,0.674309175,0,0.500763341,-0.055349689,0.729481819,0.08265219,0.998326302,-0.126204204,0,0.966455786,-0.092509507,-0.063455529,0.174316677,0,-0.012636147,0.033116747,0,-0.012636147,-0.016709257,0,0,0,0.031595979,-0.012636147,-0.016709257,0.174247625,-0.016709257,-0.712491044,-0.019836183,0,-0.016709257,0.222858782,0.222858782,-0.016709257,0.129046503,-0.00485957,-0.000999956,0.145325287,-0.004522582,0.002486621,0.032995923,0.002486621,-0.015827768,-0.008066247,-0.008066247,0,-0.012636147,-0.005588251,0.002486621,0.381826167,-0.232781968,0.067905897,-0.016709257,-0.005588251,-0.051885619,0,0.480024107,-0.043315414,-0.495021677,0,0.147187496,0,0.080147255,0.136283615,0.164062514,-0.011670106,0.246250416,-0.019836183,-0.056911155,0.575551612,0.517852816,0.233031747,0.517852816,0.402036218,0.097680319,0.532218316,0.328860266,0.472015464,0.367675271,0.063456152,0.472015464,0.510429337,0.122600762,-0.00485957,0.185896056,0.185896056,-0.004313362,0.229325787,0.405271481,-0.08448274,0.123554675,-0.08448274,0.564116186,-0.03662388,0.051254962,-0.286538484,0.34463335,0.040511284,-0.286538484,0.032007101,0.010294032,0.002781231,0.067898523,0.359588996,0.076597172,0.387767683,0.503206593,0.462748168,0.251670026,0.410621288,0.169235663,0.984623067,0.182364859,0.275835999,0.649785197,0.322735773,0.292323343,-0.055133452,0.55554435,0.492889529,-0.021415893,0.206358818,0.278161757,0.181299281,0.289771944,0.242172243,0.225356006,0.29472667,0.472806293,0.200581586,0.313643002,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0.825739942,0,0,1,0,0,0.784571133,-0.00841399,0.784571133,0.374588702,-0.004253114,0,-0.00841399,0.374588702,-0.00841399,0.537969857,0.489600415,0,0.364830005,-0.037680261,0.539091495,0.060255282,0.816038895,0.050689572,0,0.739703468,-0.070256098,-0.052212196,0.134047317,0,-0.01200915,0.018056771,0,-0.01200915,-0.013236206,0,0,0,0.019147781,-0.01200915,-0.013236206,0.123460972,-0.013236206,-0.192978434,-0.01518468,0,-0.013236206,0.163750616,0.163750616,-0.013236206,0.107096202,-0.004246308,-0.011258616,0.100147131,-0.004990746,0.000295921,0.020024423,0.000295921,-0.014401471,-0.014257313,-0.014257313,0,-0.01200915,-0.005849756,0.000295921,0.277965281,0.353429182,0.050081174,-0.013236206,-0.005849756,-0.046590411,0,0.350882887,-0.032329254,0.005214177,0,0.150012511,0,0.056750355,0.093615276,0.120160008,-0.007026767,0.18021799,-0.01518468,-0.05074396,0.428725717,0.378652875,0.172896246,0.378652875,0.293633993,0.070771329,0.390165429,0.247770112,0.348556288,0.266689863,0.044391117,0.348556288,0.399387214,0.079999499,-0.004246308,0.1379267,0.1379267,-0.003803799,0.162272275,0.29637186,-0.063766729,0.082296448,-0.063766729,0.440090437,-0.026264973,0.036463938,0.017802513,0.80955347,0.131899358,0.017802513,0.029007727,0.011048167,-0.004253114,0.046978187,0.326257639,0.068547994,0.44857924,0.368809939,0.395854483,0.202658811,0.330782644,0.146867407,0.792878836,0.139370924,0.214616956,0.519003635,0.241806949,0.218955595,-0.041536616,0.404406262,0.62531922,-0.022065006,0.16517713,0.260707809,0.208549722,0.266357097,0.193931497,0.188986917,0.298282967,0.34832779,0.154195022,0.235215652,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0.298118197,0,0,0.784571133,0,0,1,-0.002901897,1,0.868675053,-0.010254732,0,-0.002901897,0.868675053,-0.002901897,0.15669638,0.087296911,0,0.066923194,-0.002921624,0.110400297,0.011112197,0.283541194,0.224511909,0,0.189394712,-0.017200562,-0.018603215,0.035225432,0,-0.006432361,-0.005846913,0,-0.006432361,-0.004031468,0,0,0,-0.002328908,-0.006432361,-0.004031468,0.017386338,-0.004031468,0.456640612,-0.003891514,0,-0.004031468,0.032131152,0.032131152,-0.004031468,0.039380455,-0.001843985,-0.017953453,0.009726103,-0.003474215,-0.002232664,-0.00238429,-0.002232664,-0.006972402,-0.015260379,-0.015260379,0,-0.006432361,-0.00375645,-0.002232664,0.050667164,0.853987022,0.010104828,-0.004031468,-0.00375645,-0.021807955,0,0.066118661,-0.007095051,0.552981433,0,0.092064945,0,0.007934475,0.008611563,0.02299629,0.000937267,0.034284973,-0.003891514,-0.023312526,0.092840489,0.0715295,0.036425332,0.0715295,0.054966817,0.012388408,0.075220476,0.057791967,0.070985,0.047141583,0.005367119,0.070985,0.114778022,0.00061095,-0.001843985,0.02906166,0.02906166,-0.001695565,0.022520473,0.056043644,-0.015042277,0.003449419,-0.015042277,0.124643219,-0.004188362,0.005364442,0.345107077,0.991144707,0.178677434,0.345107077,0.013904896,0.007380707,-0.010254732,0.004861829,0.156835511,0.031801778,0.332861489,0.070972564,0.161213683,0.066303434,0.108395294,0.062505895,0.259411446,0.035387387,0.059975201,0.164013454,0.054433071,0.049193487,-0.009685334,0.07367849,0.516397731,-0.013798402,0.052682959,0.135416948,0.153628227,0.132214476,0.061974959,0.072092796,0.180795268,0.069728991,0.040448902,0.053274111,0
