Problem Code	 Text Size 	 Sol Size 	 Right Ans 	 Difficulty 	 Chapter 	 Chapter Code 	 Test Code
P022071	418	590	b	2	Thermodynamics	CHM-11-JEE-06	SB-MT-04-16
P022047	78	271	b	2	Hydrogen	CHM-11-JEE-10	SB-MT-04-16
P022069	80	270	b	1	States of Matter	CHM-11-JEE-05	SB-MT-04-16
P022044	224	879	b	2	Hydrogen	CHM-11-JEE-10	SB-MT-04-16
P022054	488	391	b	3	S block elements	CHM-11-JEE-11	SB-MT-04-16
P022052	28	367	d	2	S block elements	CHM-11-JEE-11	SB-MT-04-16
P022074	10333	233	c	2	Chemical Equilibrium	CHM-11-JEE-07	SB-MT-04-16
P022062	93	111	c	2	P block - I	CHM-11-JEE-12	SB-MT-04-16
P022046	81	174	a	1	Hydrogen	CHM-11-JEE-10	SB-MT-04-16
P022084	77	1052	a	2	Chemical Bonding 	CHM-11-JEE-04	SB-MT-04-16
P022078	120	482	d	2	Redox Reactions	CHM-11-JEE-09	SB-MT-04-16
P022060	171	22908	c	2	P block - I	CHM-11-JEE-12	SB-MT-04-16
P022086	38	186	b	1	Periodic Properties of Elements	CHM-11-JEE-03	SB-MT-04-16
P022064	255	157	c	2	Basic Concepts of Chemistry	CHM-11-JEE-01	SB-MT-04-16
P022049	114	281	a	2	S block elements	CHM-11-JEE-11	SB-MT-04-16
P022314	70	1005	c	3	Hydrogen	CHM-11-JEE-10	SB-MT-04-16
P022085	95	17369	b	3	Chemical Bonding 	CHM-11-JEE-04	SB-MT-04-16
P022058	81	237	b	2	P block - I	CHM-11-JEE-12	SB-MT-04-16
P022051	79	216	c	1	S block elements	CHM-11-JEE-11	SB-MT-04-16
P022080	498	598	d	3	Redox Reactions	CHM-11-JEE-09	SB-MT-04-16
P003092	69	641	c	2	Fundamentals of Mathematics	MTH-11-JEE-01	SB-MT-04-16
P022201	77	810	b	3	Binomial Theorem	MTH-11-JEE-09	SB-MT-04-16
P022205	175	373	d	1	Straight Lines	MTH-11-JEE-12	SB-MT-04-16
P022210	342	791	a	3	Complex Numbers	MTH-11-JEE-07	SB-MT-04-16
P022213	278	47590	a	3	Conic Sections - I	MTH-11-JEE-13	SB-MT-04-16
P022216	73	149	a	1	Limits	MTH-11-JEE-11	SB-MT-04-16
P022218	129	578	a	2	Inequalities	MTH-11-JEE-05	SB-MT-04-16
P022220	111	19315	c	1	Straight Lines	MTH-11-JEE-12	SB-MT-04-16
P022224	97	784	b	1	Quadratic Equations	MTH-11-JEE-06	SB-MT-04-16
P022226	71	270	c	1	Limits	MTH-11-JEE-11	SB-MT-04-16
P022228	197	757	d	3	Sequence and Series	MTH-11-JEE-10	SB-MT-04-16
P022229	175	863	a	1	Permutations and Combinations	MTH-11-JEE-08	SB-MT-04-16
P022231	265	481	c	1	Binomial Theorem	MTH-11-JEE-09	SB-MT-04-16
P022235	386	18568	a	2	Straight Lines	MTH-11-JEE-12	SB-MT-04-16
P022240	89	453	c	2	Sets, Relations and Functions	MTH-11-JEE-02	SB-MT-04-16
P022241	130	185	a	2	Conic Sections - I	MTH-11-JEE-13	SB-MT-04-16
P022245	120	750	b	2	Quadratic Equations	MTH-11-JEE-06	SB-MT-04-16
P022238	212	535	c	2	Trigonometry	MTH-11-JEE-03	SB-MT-04-16
P022249	97	525	d	3	Limits	MTH-11-JEE-11	SB-MT-04-16
P022253	142	16510	d	2	Conic Sections - I	MTH-11-JEE-13	SB-MT-04-16
P022256	205	600	c	2	Quadratic Equations	MTH-11-JEE-06	SB-MT-04-16
P022259	96	623	c	2	Limits	MTH-11-JEE-11	SB-MT-04-16
P022268	181	77447	a	2	Straight Lines	MTH-11-JEE-12	SB-MT-04-16
P022276	166	370	d	1	Sequence and Series	MTH-11-JEE-10	SB-MT-04-16
P022279	79	182	c	1	Binomial Theorem	MTH-11-JEE-09	SB-MT-04-16
P022282	176	718	b	2	Conic Sections - I	MTH-11-JEE-13	SB-MT-04-16
P022285	113	155	b	2	Sequence and Series	MTH-11-JEE-10	SB-MT-04-16
P022286	177	12311	b	2	Conic Sections - I	MTH-11-JEE-13	SB-MT-04-16
P022288	187	3089093	d	3	Straight Lines	MTH-11-JEE-12	SB-MT-04-16
P022289	61	275	b	2	Limits	MTH-11-JEE-11	SB-MT-04-16
P004417	7108	4540	b	3	Rotation	PHY-11-JEE-07	SB-MT-05-16
P005496	214	523	c	2	Mechanical Properties of Fluids	PHY-11-JEE-10	SB-MT-05-16
P004424	8624	4575	d	3	Rotation	PHY-11-JEE-07	SB-MT-05-16
P020241	224	274	a	2	Motion in Two Dimensions	PHY-11-JEE-04	SB-MT-05-16
P002171	6604	414	c	3	Motion in Two Dimensions	PHY-11-JEE-04	SB-MT-05-16
P005467	303	585	c	2	Mechanical Properties of Solids	PHY-11-JEE-09	SB-MT-05-16
P009089	18107	15772	a	3	Dynamics of Motion	PHY-11-JEE-05	SB-MT-05-16
P004351	206	740	b	3	Work, Power, Energy and Momentum	PHY-11-JEE-06	SB-MT-05-16
P009096	9802	433	c	2	Dynamics of Motion	PHY-11-JEE-05	SB-MT-05-16
P002127	290	232	a	2	Units and Measurement	PHY-11-JEE-01	SB-MT-05-16
P009054	267	186	b	2	Motion in 1D	PHY-11-JEE-02	SB-MT-05-16
P002159	148	424	b	2	Vectors and Application of Calculus	PHY-11-JEE-03	SB-MT-05-16
P004817	234	233	d	1	Waves	PHY-11-JEE-14	SB-MT-05-16
P012556	8159	805	b	2	Gravitation	PHY-11-JEE-08	SB-MT-05-16
P004796	801	822	c	2	Waves	PHY-11-JEE-14	SB-MT-05-16
P005481	5822	6261	d	2	Mechanical Properties of Fluids	PHY-11-JEE-10	SB-MT-05-16
P004307	188	673	b	2	Oscillations	PHY-11-JEE-13	SB-MT-05-16
P005466	20201	716	b	2	Mechanical Properties of Solids	PHY-11-JEE-09	SB-MT-05-16
P002417	9416	949	b	3	Work, Power, Energy and Momentum	PHY-11-JEE-06	SB-MT-05-16
P005515	227	508	b	2	Waves	PHY-11-JEE-14	SB-MT-05-16
P005626	373	494	d	2	Thermodynamics and Kinetic Theory of Gases	PHY-11-JEE-12	SB-MT-05-16
P002162	157	238	b	3	Vectors and Application of Calculus	PHY-11-JEE-03	SB-MT-05-16
P003336	308	309	b	2	Gravitation	PHY-11-JEE-08	SB-MT-05-16
P009437	66	157	c	1	Motion in 1D	PHY-11-JEE-02	SB-MT-05-16
P003209	4291	7351	b	2	Thermal Properties of Matter	PHY-11-JEE-11	SB-MT-05-16
P005633	191	533	b	1	Thermodynamics and Kinetic Theory of Gases	PHY-11-JEE-12	SB-MT-05-16
P009098	218	256	a	1	Units and Measurement	PHY-11-JEE-01	SB-MT-05-16
P005484	2996	3858	a	2	Mechanical Properties of Fluids	PHY-11-JEE-10	SB-MT-05-16
P004309	10889	837	c	2	Oscillations	PHY-11-JEE-13	SB-MT-05-16
P004317	14096	9968	a	3	Oscillations	PHY-11-JEE-13	SB-MT-05-16
P005101	197	347	d	2	Basic Concepts of Chemistry	CHM-11-JEE-01	SB-MT-05-16
P003077	98	138	d	1	Periodic Properties of Elements	CHM-11-JEE-03	SB-MT-05-16
P002238	407	986	b	3	Atomic Structure 	CHM-11-JEE-02	SB-MT-05-16
P020030	89	90740	c	2	Introduction to Organic Chemistry	CHM-11-JEE-13	SB-MT-05-16
P020041	69	0	d	2	Introduction to Organic Chemistry	CHM-11-JEE-13	SB-MT-05-16
P020024	118	54502	c	2	Introduction to Organic Chemistry	CHM-11-JEE-13	SB-MT-05-16
P020015	91	176	a	2	Hydrocarbons	CHM-11-JEE-14	SB-MT-05-16
P020016	31965	76393	b	3	Hydrocarbons	CHM-11-JEE-14	SB-MT-05-16
P004272	222	405	c	2	Redox Reactions	CHM-11-JEE-09	SB-MT-05-16
P005099	72	153	d	1	Hydrogen	CHM-11-JEE-10	SB-MT-05-16
P023260	215	443	c	1	Atomic Structure 	CHM-11-JEE-02	SB-MT-05-16
P023286	221	11189	d	2	Atomic Structure 	CHM-11-JEE-02	SB-MT-05-16
P023231	104	64827	a	3	Chemical Bonding 	CHM-11-JEE-04	SB-MT-05-16
P023269	229	787	c	2	Thermodynamics	CHM-11-JEE-06	SB-MT-05-16
P023265	622	896	a	2	Chemical Equilibrium	CHM-11-JEE-07	SB-MT-05-16
P023267	684	819	a	2	Chemical Equilibrium	CHM-11-JEE-07	SB-MT-05-16
P023273	535	1311	b	3	Chemical Equilibrium	CHM-11-JEE-07	SB-MT-05-16
P023285	321	841	d	2	Ionic Equilibrium	CHM-11-JEE-08	SB-MT-05-16
P023278	333	1448	c	3	Ionic Equilibrium	CHM-11-JEE-08	SB-MT-05-16
P023277	48	52	d	1	Hydrogen	CHM-11-JEE-10	SB-MT-05-16
P023216	64	450	a	1	S block elements	CHM-11-JEE-11	SB-MT-05-16
P023221	43	519	c	2	S block elements	CHM-11-JEE-11	SB-MT-05-16
P023222	389	12526	a	2	P block - I	CHM-11-JEE-12	SB-MT-05-16
P023232	45	227	c	2	Introduction to Organic Chemistry	CHM-11-JEE-13	SB-MT-05-16
P023233	453	832	d	3	Introduction to Organic Chemistry	CHM-11-JEE-13	SB-MT-05-16
P023234	205	1159	b	2	Introduction to Organic Chemistry	CHM-11-JEE-13	SB-MT-05-16
P023257	8975	157	b	2	Hydrocarbons	CHM-11-JEE-14	SB-MT-05-16
P023246	16024	65978	a	2	Hydrocarbons	CHM-11-JEE-14	SB-MT-05-16
P023213	95	38189	b	1	Chemical Bonding 	CHM-11-JEE-04	SB-MT-05-16
P005673	6962	16820	c	3	Hydrocarbons	CHM-11-JEE-14	SB-MT-05-16
P005420	117	631	c	2	Straight Lines	MTH-11-JEE-12	SB-MT-05-16
P019229	211	449	b	2	Conic Sections - II	MTH-11-JEE-14	SB-MT-05-16
P019163	208	232	b	2	Conic Sections - II	MTH-11-JEE-14	SB-MT-05-16
P019268	276	644	b	2	Conic Sections - II	MTH-11-JEE-14	SB-MT-05-16
P017943	199	264	a	2	Conic Sections - I	MTH-11-JEE-13	SB-MT-05-16
P023729	280	500	a	2	Statistics	MTH-11-JEE-16	SB-MT-05-16
P017956	246	15457	b	2	Conic Sections - I	MTH-11-JEE-13	SB-MT-05-16
P002348	57	908	c	2	Inequalities	MTH-11-JEE-05	SB-MT-05-16
P023737	273	362	b	2	Statistics	MTH-11-JEE-16	SB-MT-05-16
P002335	89	322	d	2	Trigonometry	MTH-11-JEE-03	SB-MT-05-16
P005398	89	418	d	1	Straight Lines	MTH-11-JEE-12	SB-MT-05-16
P003139	98	839	b	3	Trigonometry	MTH-11-JEE-03	SB-MT-05-16
P003089	102	374	b	2	Fundamentals of Mathematics	MTH-11-JEE-01	SB-MT-05-16
P023711	99	484	b	2	Mathematical Reasoning	MTH-11-JEE-15	SB-MT-05-16
P023730	230	521	b	3	Statistics	MTH-11-JEE-16	SB-MT-05-16
P002548	108	377	a	3	Binomial Theorem	MTH-11-JEE-09	SB-MT-05-16
P017950	200	601	a	2	Conic Sections - I	MTH-11-JEE-13	SB-MT-05-16
P019412	121	846	a	2	Quadratic Equations	MTH-11-JEE-06	SB-MT-05-16
P023718	149	115	c	1	Mathematical Reasoning	MTH-11-JEE-15	SB-MT-05-16
P002796	121	712	d	3	Permutations and Combinations	MTH-11-JEE-08	SB-MT-05-16
P023473	79	281	b	1	Mathematical Reasoning	MTH-11-JEE-15	SB-MT-05-16
P005263	147	383	c	2	Sequence and Series	MTH-11-JEE-10	SB-MT-05-16
P005262	179	786	c	3	Sequence and Series	MTH-11-JEE-10	SB-MT-05-16
P002864	77	403	d	2	Complex Numbers	MTH-11-JEE-07	SB-MT-05-16
P023468	254	834	a	2	Statistics	MTH-11-JEE-16	SB-MT-05-16
P002554	83	504	b	3	Binomial Theorem	MTH-11-JEE-09	SB-MT-05-16
P018033	211	823	c	2	Conic Sections - II	MTH-11-JEE-14	SB-MT-05-16
P023700	51	410	b	1	Mathematical Reasoning	MTH-11-JEE-15	SB-MT-05-16
P019286	242	665	b	2	Conic Sections - I	MTH-11-JEE-13	SB-MT-05-16
P017992	179	502	b	2	Conic Sections - II	MTH-11-JEE-14	SB-MT-05-16
P026371	3517	10348	d	2	Dynamics of Motion	PHY-11-JEE-05	SB-MT-06-17
P026377	14530	9192	c	3	Rotation	PHY-11-JEE-07	SB-MT-06-17
P026382	7013	44640	b	2	Mechanical Properties of Fluids	PHY-11-JEE-10	SB-MT-06-17
P026386	188	8623	a	3	Rotation	PHY-11-JEE-07	SB-MT-06-17
P002505	443	10252	c	3	Rotation	PHY-11-JEE-07	SB-MT-06-17
P026392	385	360	d	1	Thermodynamics and Kinetic Theory of Gases	PHY-11-JEE-12	SB-MT-06-17
P026399	7560	302	d	1	Dynamics of Motion	PHY-11-JEE-05	SB-MT-06-17
P026517	28105	28118	a	1	Oscillations	PHY-11-JEE-13	SB-MT-06-17
P026521	6094	236	a	1	Motion in Two Dimensions	PHY-11-JEE-04	SB-MT-06-17
P028353	323	372	d	2	Motion in Two Dimensions	PHY-11-JEE-04	SB-MT-06-17
P028494	19246	13327	c	2	Dynamics of Motion	PHY-11-JEE-05	SB-MT-06-17
P028381	227	82628	b	2	Mechanical Properties of Fluids	PHY-11-JEE-10	SB-MT-06-17
P026531	87	553	a	1	Waves	PHY-11-JEE-14	SB-MT-06-17
P026534	130	460	c	1	Units and Measurement	PHY-11-JEE-01	SB-MT-06-17
P026536	189	430	c	1	Dynamics of Motion	PHY-11-JEE-05	SB-MT-06-17
P026538	4177	368	d	1	Thermodynamics and Kinetic Theory of Gases	PHY-11-JEE-12	SB-MT-06-17
P026541	162	421	b	1	Work, Power, Energy and Momentum	PHY-11-JEE-06	SB-MT-06-17
P026544	10159	19289	d	1	Dynamics of Motion	PHY-11-JEE-05	SB-MT-06-17
P026546	152	587	a	1	Work, Power, Energy and Momentum	PHY-11-JEE-06	SB-MT-06-17
P028412	4371	16872	a	2	Mechanical Properties of Solids	PHY-11-JEE-09	SB-MT-06-17
P026551	253	924	b	1	Mechanical Properties of Fluids	PHY-11-JEE-10	SB-MT-06-17
P026553	12364	4092	a	1	Work, Power, Energy and Momentum	PHY-11-JEE-06	SB-MT-06-17
P028386	217	269	c	2	Mechanical Properties of Fluids	PHY-11-JEE-10	SB-MT-06-17
P026560	7786	10154	b	1	Dynamics of Motion	PHY-11-JEE-05	SB-MT-06-17
P026562	689	675	a	1	Thermodynamics and Kinetic Theory of Gases	PHY-11-JEE-12	SB-MT-06-17
P026565	4138	1048	c	1	Thermodynamics and Kinetic Theory of Gases	PHY-11-JEE-12	SB-MT-06-17
P026574	317	729	c	1	Waves	PHY-11-JEE-14	SB-MT-06-17
P003343	292	13104	a	3	Gravitation	PHY-11-JEE-08	SB-MT-06-17
P028391	319	396	a	2	Waves	PHY-11-JEE-14	SB-MT-06-17
P027025	347	463	a	1	Thermodynamics and Kinetic Theory of Gases	PHY-11-JEE-12	SB-MT-06-17
P027030	80	265	c	2	Atomic Structure 	CHM-11-JEE-02	SB-MT-06-17
P028245	230	520	a	2	Basic Concepts of Chemistry	CHM-11-JEE-01	SB-MT-06-17
P027035	396	645	d	2	Chemical Equilibrium	CHM-11-JEE-07	SB-MT-06-17
P027038	114	375	c	3	Periodic Properties of Elements	CHM-11-JEE-03	SB-MT-06-17
P027039	149	185	b	2	S block elements	CHM-11-JEE-11	SB-MT-06-17
P027041	43	220	d	2	States of Matter	CHM-11-JEE-05	SB-MT-06-17
P028222	4953	303	b	3	Introduction to Organic Chemistry	CHM-11-JEE-13	SB-MT-06-17
P027049	83	11695	b	1	Hydrocarbons	CHM-11-JEE-14	SB-MT-06-17
P027055	101	376	d	2	States of Matter	CHM-11-JEE-05	SB-MT-06-17
P027059	243	171	b	2	Hydrogen	CHM-11-JEE-10	SB-MT-06-17
P028244	384	357	d	1	Chemical Equilibrium	CHM-11-JEE-07	SB-MT-06-17
P027065	32208	14448	b	3	Introduction to Organic Chemistry	CHM-11-JEE-13	SB-MT-06-17
P027067	99	144	c	3	Atomic Structure 	CHM-11-JEE-02	SB-MT-06-17
P028247	203	668	b	2	Ionic Equilibrium	CHM-11-JEE-08	SB-MT-06-17
P027073	81	183	a	3	Ionic Equilibrium	CHM-11-JEE-08	SB-MT-06-17
P027084	353	310	c	2	Thermodynamics	CHM-11-JEE-06	SB-MT-06-17
P027090	140	757	a	2	S block elements	CHM-11-JEE-11	SB-MT-06-17
P028248	163	708	b	2	Ionic Equilibrium	CHM-11-JEE-08	SB-MT-06-17
P027106	168	512	d	2	Ionic Equilibrium	CHM-11-JEE-08	SB-MT-06-17
P027109	25264	339	b	2	Introduction to Organic Chemistry	CHM-11-JEE-13	SB-MT-06-17
P027115	303	256	d	2	Thermodynamics	CHM-11-JEE-06	SB-MT-06-17
P027122	150	530	c	2	Hydrocarbons	CHM-11-JEE-14	SB-MT-06-17
P027126	13620	442	c	2	Hydrocarbons	CHM-11-JEE-14	SB-MT-06-17
P027132	127	326	b	1	Periodic Properties of Elements	CHM-11-JEE-03	SB-MT-06-17
P027144	206	433	b	2	States of Matter	CHM-11-JEE-05	SB-MT-06-17
P028246	58	261	c	2	Chemical Bonding 	CHM-11-JEE-04	SB-MT-06-17
P027158	248	283	d	2	Atomic Structure 	CHM-11-JEE-02	SB-MT-06-17
P027163	40	166	d	1	P block - I	CHM-11-JEE-12	SB-MT-06-17
P027165	94	61	c	3	Hydrocarbons	CHM-11-JEE-14	SB-MT-06-17
P027179	271	339	a	2	Ionic Equilibrium	CHM-11-JEE-08	SB-MT-06-17
P027188	170	314	c	1	Sets, Relations and Functions	MTH-11-JEE-02	SB-MT-06-17
P027193	175	320	b	1	Straight Lines	MTH-11-JEE-12	SB-MT-06-17
P028493	255	13447	a	2	Trigonometry	MTH-11-JEE-03	SB-MT-06-17
P027204	97	215	b	1	Complex Numbers	MTH-11-JEE-07	SB-MT-06-17
P027210	117	478	c	1	Limits	MTH-11-JEE-11	SB-MT-06-17
P027218	114	224	b	1	Conic Sections - I	MTH-11-JEE-13	SB-MT-06-17
P027222	196	261	c	1	Permutations and Combinations	MTH-11-JEE-08	SB-MT-06-17
P027232	172	547	d	1	Sequence and Series	MTH-11-JEE-10	SB-MT-06-17
P027241	70	803	a	1	Binomial Theorem	MTH-11-JEE-09	SB-MT-06-17
P028487	141	276	a	1	Conic Sections - II	MTH-11-JEE-14	SB-MT-06-17
P027259	189	141	d	1	Permutations and Combinations	MTH-11-JEE-08	SB-MT-06-17
P027274	187	763	b	1	Sequence and Series	MTH-11-JEE-10	SB-MT-06-17
P027285	131	444	a	1	Straight Lines	MTH-11-JEE-12	SB-MT-06-17
P027317	156	496	b	1	Binomial Theorem	MTH-11-JEE-09	SB-MT-06-17
P027324	51	464	b	1	Quadratic Equations	MTH-11-JEE-06	SB-MT-06-17
P027329	120	376	b	1	Sequence and Series	MTH-11-JEE-10	SB-MT-06-17
P027332	83	61234	a	1	Conic Sections - II	MTH-11-JEE-14	SB-MT-06-17
P027333	102	158	c	1	Quadratic Equations	MTH-11-JEE-06	SB-MT-06-17
P027341	326	483	a	1	Conic Sections - II	MTH-11-JEE-14	SB-MT-06-17
P027344	154	97448	d	1	Permutations and Combinations	MTH-11-JEE-08	SB-MT-06-17
P027347	92	321	a	1	Trigonometry	MTH-11-JEE-03	SB-MT-06-17
P027350	134	118	b	1	Complex Numbers	MTH-11-JEE-07	SB-MT-06-17
P027357	106	253	c	1	Limits	MTH-11-JEE-11	SB-MT-06-17
P027366	125	1551	d	1	Quadratic Equations	MTH-11-JEE-06	SB-MT-06-17
P027370	104	260	c	1	Conic Sections - I	MTH-11-JEE-13	SB-MT-06-17
P027372	109	574	a	1	Complex Numbers	MTH-11-JEE-07	SB-MT-06-17
P027374	142	464	b	1	Sets, Relations and Functions	MTH-11-JEE-02	SB-MT-06-17
P027389	170	43701	b	1	Straight Lines	MTH-11-JEE-12	SB-MT-06-17
P028491	152	330	b	1	Straight Lines	MTH-11-JEE-12	SB-MT-06-17
P027393	213	517	d	1	Limits	MTH-11-JEE-11	SB-MT-06-17
P026847	295	987	c	2	Waves	PHY-11-JEE-14	SB-MT-07-17
P026622	50410	461	c	2	Dynamics of Motion	PHY-11-JEE-05	SB-MT-07-17
P026842	146	757	b	2	Mechanical Properties of Fluids	PHY-11-JEE-10	SB-MT-07-17
P026850	120	200	b	1	Electrostatics	PHY-12-JEE-15	SB-MT-07-17
P026886	59030	1689	c	2	Thermodynamics and Kinetic Theory of Gases	PHY-11-JEE-12	SB-MT-07-17
P026859	61481	39454	a	1	Capacitors	PHY-12-JEE-16	SB-MT-07-17
P026876	426	1134	a	2	Motion in 1D	PHY-11-JEE-02	SB-MT-07-17
P026878	169	281	c	1	Motion in Two Dimensions	PHY-11-JEE-04	SB-MT-07-17
P026891	29007	4148	b	1	Capacitors	PHY-12-JEE-16	SB-MT-07-17
P026894	426	25166	c	2	Capacitors	PHY-12-JEE-16	SB-MT-07-17
P026905	48138	862	c	2	Electrostatics	PHY-12-JEE-15	SB-MT-07-17
P026912	24391	771	a	3	Work, Power, Energy and Momentum	PHY-11-JEE-06	SB-MT-07-17
P026915	135	400	a	2	Gravitation	PHY-11-JEE-08	SB-MT-07-17
P026919	268	58926	c	2	Oscillations	PHY-11-JEE-13	SB-MT-07-17
P026927	262	73123	d	3	Electrostatics	PHY-12-JEE-15	SB-MT-07-17
P026944	67662	16534	d	3	Dynamics of Motion	PHY-11-JEE-05	SB-MT-07-17
P026967	271	2509	d	3	Thermal Properties of Matter	PHY-11-JEE-11	SB-MT-07-17
P026924	279	415	c	2	Waves	PHY-11-JEE-14	SB-MT-07-17
P026935	235	10163	c	1	Motion in Two Dimensions	PHY-11-JEE-04	SB-MT-07-17
P026978	242	11510	b	3	Electrostatics	PHY-12-JEE-15	SB-MT-07-17
P026983	270	7872	d	1	Capacitors	PHY-12-JEE-16	SB-MT-07-17
P027021	31503	43679	a	2	Electrostatics	PHY-12-JEE-15	SB-MT-07-17
P026989	40889	81222	b	2	Work, Power, Energy and Momentum	PHY-11-JEE-06	SB-MT-07-17
P026995	245	4426	b	2	Mechanical Properties of Solids	PHY-11-JEE-09	SB-MT-07-17
P026999	184	399	a	2	Electrostatics	PHY-12-JEE-15	SB-MT-07-17
P027002	320	38971	b	3	Electrostatics	PHY-12-JEE-15	SB-MT-07-17
P027012	300	437	d	2	Thermodynamics and Kinetic Theory of Gases	PHY-11-JEE-12	SB-MT-07-17
P027026	191	37619	c	3	Rotation	PHY-11-JEE-07	SB-MT-07-17
P031300	565	672	b	2	Units and Measurement	PHY-11-JEE-01	SB-MT-07-17
P020219	287	359	b	3	Motion in Two Dimensions	PHY-11-JEE-04	SB-MT-07-17
P031166	116	96	c	2	Periodic Properties of Elements	CHM-11-JEE-03	SB-MT-07-17
P030852	123	366	d	2	Redox Reactions	CHM-11-JEE-09	SB-MT-07-17
P030812	208	980	d	2	Solid State	CHM-12-JEE-15	SB-MT-07-17
P031149	77	161	a	2	S block elements	CHM-11-JEE-11	SB-MT-07-17
P030849	40	5443	d	2	Chemical Bonding 	CHM-11-JEE-04	SB-MT-07-17
P031123	105	605	a	2	Solutions	CHM-12-JEE-16	SB-MT-07-17
P031152	67	129	b	3	Introduction to Organic Chemistry	CHM-11-JEE-13	SB-MT-07-17
P031122	6657	402	a	1	Electrochemistry	CHM-12-JEE-17	SB-MT-07-17
P031146	394	902	b	2	Basic Concepts of Chemistry	CHM-11-JEE-01	SB-MT-07-17
P031142	182	302	d	2	Solutions	CHM-12-JEE-16	SB-MT-07-17
P031119	297	655	b	3	Electrochemistry	CHM-12-JEE-17	SB-MT-07-17
P030772	236	334	b	2	Ionic Equilibrium	CHM-11-JEE-08	SB-MT-07-17
P030782	221	191	d	2	Thermodynamics	CHM-11-JEE-06	SB-MT-07-17
P031156	13574	413	d	3	Introduction to Organic Chemistry	CHM-11-JEE-13	SB-MT-07-17
P031120	274	18561	a	3	Solid State	CHM-12-JEE-15	SB-MT-07-17
P030757	370	755	a	2	Electrochemistry	CHM-12-JEE-17	SB-MT-07-17
P031167	403	965	b	3	Thermodynamics	CHM-11-JEE-06	SB-MT-07-17
P030764	126	36669	c	2	Hydrocarbons	CHM-11-JEE-14	SB-MT-07-17
P031158	52	151	c	1	Atomic Structure 	CHM-11-JEE-02	SB-MT-07-17
P030817	267	614	c	2	Solid State	CHM-12-JEE-15	SB-MT-07-17
P030808	269	271	d	2	Solutions	CHM-12-JEE-16	SB-MT-07-17
P030830	144	447	b	2	Atomic Structure 	CHM-11-JEE-02	SB-MT-07-17
P030888	111	297	b	2	Hydrocarbons	CHM-11-JEE-14	SB-MT-07-17
P031162	102	690	d	2	Chemical Bonding 	CHM-11-JEE-04	SB-MT-07-17
P030761	25301	968	c	2	States of Matter	CHM-11-JEE-05	SB-MT-07-17
P031173	269	901	c	2	Thermodynamics	CHM-11-JEE-06	SB-MT-07-17
P031138	73	409	c	2	Solutions	CHM-12-JEE-16	SB-MT-07-17
P030857	159	11849	b	2	Hydrocarbons	CHM-11-JEE-14	SB-MT-07-17
P030767	305	560	a	2	Electrochemistry	CHM-12-JEE-17	SB-MT-07-17
P030785	310	806	b	2	Electrochemistry	CHM-12-JEE-17	SB-MT-07-17
P029714	101	558	c	2	Functions 2	MTH-12-JEE-17	SB-MT-07-17
P029739	74	1609	b	3	Trigonometry	MTH-11-JEE-03	SB-MT-07-17
P029781	76	12091	d	2	Inverse Trigonometry 	MTH-12-JEE-18	SB-MT-07-17
P029779	67	447	c	3	Quadratic Equations	MTH-11-JEE-06	SB-MT-07-17
P029783	121	46623	b	1	Conic Sections - I	MTH-11-JEE-13	SB-MT-07-17
P029793	70	51292	c	2	Trigonometry	MTH-11-JEE-03	SB-MT-07-17
P029805	474	468	c	2	Functions 2	MTH-12-JEE-17	SB-MT-07-17
P029834	152	794	c	2	Conic Sections - II	MTH-11-JEE-14	SB-MT-07-17
P029868	213	577	c	2	Functions 2	MTH-12-JEE-17	SB-MT-07-17
P029872	93	670	a	2	Straight Lines	MTH-11-JEE-12	SB-MT-07-17
P029876	151	368	c	2	Permutations and Combinations	MTH-11-JEE-08	SB-MT-07-17
P029890	73	6356	c	2	Inverse Trigonometry 	MTH-12-JEE-18	SB-MT-07-17
P029898	262	1008	b	3	Straight Lines	MTH-11-JEE-12	SB-MT-07-17
P029907	86	433	a	2	Sequence and Series	MTH-11-JEE-10	SB-MT-07-17
P029912	71	683	c	2	Inequalities	MTH-11-JEE-05	SB-MT-07-17
P029909	80	329	b	2	Functions 2	MTH-12-JEE-17	SB-MT-07-17
P029911	140	421	a	2	Inverse Trigonometry 	MTH-12-JEE-18	SB-MT-07-17
P029913	110	51598	d	3	Functions 2	MTH-12-JEE-17	SB-MT-07-17
P029921	125	544	c	1	Sets, Relations and Functions	MTH-11-JEE-02	SB-MT-07-17
P029922	104	443	c	2	Complex Numbers	MTH-11-JEE-07	SB-MT-07-17
P029924	63	424	d	2	Binomial Theorem	MTH-11-JEE-09	SB-MT-07-17
P029927	98	482	c	2	Fundamentals of Mathematics	MTH-11-JEE-01	SB-MT-07-17
P029934	127	738	c	2	Permutations and Combinations	MTH-11-JEE-08	SB-MT-07-17
P029950	1398	372	d	2	Limits	MTH-11-JEE-11	SB-MT-07-17
P029955	137	694	b	3	Functions 2	MTH-12-JEE-17	SB-MT-07-17
P029957	187	287	a	1	Functions 2	MTH-12-JEE-17	SB-MT-07-17
P029963	85	809	a	2	Quadratic Equations	MTH-11-JEE-06	SB-MT-07-17
P029976	102	670	a	3	Sequence and Series	MTH-11-JEE-10	SB-MT-07-17
P029991	64	624	b	2	Inverse Trigonometry 	MTH-12-JEE-18	SB-MT-07-17
P029992	45	252	d	2	Complex Numbers	MTH-11-JEE-07	SB-MT-07-17
