Problem Code	 Text Size 	 Sol Size 	 Right Ans 	 Difficulty 	 Chapter 	 Chapter Code 	 Test Code
P033252	343	558	b	2	Basic Concepts of Chemistry	CHM-11-JEE-01	SB-MT-01-17
P003071	133	167	c	2	Periodic Properties of Elements	CHM-11-JEE-03	SB-MT-01-17
P033288	74	274	b	3	Periodic Properties of Elements	CHM-11-JEE-03	SB-MT-01-17
P003033	156	151	a	2	Atomic Structure 	CHM-11-JEE-02	SB-MT-01-17
P009039	543	859	c	3	Atomic Structure 	CHM-11-JEE-02	SB-MT-01-17
P033237	295	565	c	2	Basic Concepts of Chemistry	CHM-11-JEE-01	SB-MT-01-17
P002208	126	395	b	2	Basic Concepts of Chemistry	CHM-11-JEE-01	SB-MT-01-17
P033246	224	1204	b	3	Basic Concepts of Chemistry	CHM-11-JEE-01	SB-MT-01-17
P033270	185	244	d	1	Atomic Structure 	CHM-11-JEE-02	SB-MT-01-17
P003017	339	303	b	2	Basic Concepts of Chemistry	CHM-11-JEE-01	SB-MT-01-17
P003018	179	276	d	1	Basic Concepts of Chemistry	CHM-11-JEE-01	SB-MT-01-17
P033290	53	267	c	2	Periodic Properties of Elements	CHM-11-JEE-03	SB-MT-01-17
P003074	162	172	a	2	Periodic Properties of Elements	CHM-11-JEE-03	SB-MT-01-17
P033284	221	591	d	2	Atomic Structure 	CHM-11-JEE-02	SB-MT-01-17
P033267	280	446	c	1	Atomic Structure 	CHM-11-JEE-02	SB-MT-01-17
P033278	169	468	c	2	Atomic Structure 	CHM-11-JEE-02	SB-MT-01-17
P003023	179	308	c	2	Atomic Structure 	CHM-11-JEE-02	SB-MT-01-17
P003032	699	377	b	1	Atomic Structure 	CHM-11-JEE-02	SB-MT-01-17
P003031	105	260	c	1	Atomic Structure 	CHM-11-JEE-02	SB-MT-01-17
P033266	693	1414	c	3	Basic Concepts of Chemistry	CHM-11-JEE-01	SB-MT-01-17
P042566	166	893	c	2	Sets, Relations and Functions	MTH-11-JEE-02	SB-MT-02-17
P002711	110	8249	c	2	Inequalities	MTH-11-JEE-05	SB-MT-02-17
P002290	72	812	b	1	Fundamentals of Mathematics	MTH-11-JEE-01	SB-MT-02-17
P002734	229	248	b	3	Quadratic Equations	MTH-11-JEE-06	SB-MT-02-17
P005041	460	11769	d	3	Sets, Relations and Functions	MTH-11-JEE-02	SB-MT-02-17
P002713	83	1767	b	3	Inequalities	MTH-11-JEE-05	SB-MT-02-17
P041848	62	321	a	1	Trigonometry	MTH-11-JEE-03	SB-MT-02-17
P005253	154	315	d	2	Complex Numbers	MTH-11-JEE-07	SB-MT-02-17
P002740	113	1025	b	3	Quadratic Equations	MTH-11-JEE-06	SB-MT-02-17
P002861	210	465	c	2	Complex Numbers	MTH-11-JEE-07	SB-MT-02-17
P003116	141	261	d	1	Sets, Relations and Functions	MTH-11-JEE-02	SB-MT-02-17
P002738	135	374	a	2	Quadratic Equations	MTH-11-JEE-06	SB-MT-02-17
P004938	117	622	b	2	Complex Numbers	MTH-11-JEE-07	SB-MT-02-17
P012352	151	574	d	2	Inequalities	MTH-11-JEE-05	SB-MT-02-17
P002735	238	521	c	3	Quadratic Equations	MTH-11-JEE-06	SB-MT-02-17
P002715	12160	928	a	2	Inequalities	MTH-11-JEE-05	SB-MT-02-17
P002853	75	676	c	1	Complex Numbers	MTH-11-JEE-07	SB-MT-02-17
P002739	147	258	b	2	Quadratic Equations	MTH-11-JEE-06	SB-MT-02-17
P002714	314	609	c	2	Inequalities	MTH-11-JEE-05	SB-MT-02-17
P002733	70	419	b	1	Quadratic Equations	MTH-11-JEE-06	SB-MT-02-17
P002736	99	65647	d	3	Quadratic Equations	MTH-11-JEE-06	SB-MT-02-17
P002866	141	1687	c	3	Complex Numbers	MTH-11-JEE-07	SB-MT-02-17
P002742	99	232	a	2	Quadratic Equations	MTH-11-JEE-06	SB-MT-02-17
P013670	66	221	d	2	Fundamentals of Mathematics	MTH-11-JEE-01	SB-MT-02-17
P002856	202	418	c	2	Complex Numbers	MTH-11-JEE-07	SB-MT-02-17
P002356	181	1024	c	2	Inequalities	MTH-11-JEE-05	SB-MT-02-17
P009028	116	355	d	2	Quadratic Equations	MTH-11-JEE-06	SB-MT-02-17
P041849	126	549	b	1	Trigonometry	MTH-11-JEE-03	SB-MT-02-17
P013668	199	293	b	2	Sets, Relations and Functions	MTH-11-JEE-02	SB-MT-02-17
P013671	153	349	a	2	Trigonometry	MTH-11-JEE-03	SB-MT-02-17
P040836	186	192	d	1	Basic Concepts of Chemistry	CHM-11-JEE-01	SB-MT-02-17
P018372	68	233	b	2	Periodic Properties of Elements	CHM-11-JEE-03	SB-MT-02-17
P002192	148	317	a	1	Basic Concepts of Chemistry	CHM-11-JEE-01	SB-MT-02-17
P002903	203	442	c	2	States of Matter	CHM-11-JEE-05	SB-MT-02-17
P002361	158	250	a	2	Thermodynamics	CHM-11-JEE-06	SB-MT-02-17
P002897	100	309	a	1	States of Matter	CHM-11-JEE-05	SB-MT-02-17
P002430	69	74783	b	2	Chemical Bonding 	CHM-11-JEE-04	SB-MT-02-17
P002427	284	334	d	2	States of Matter	CHM-11-JEE-05	SB-MT-02-17
P009526	216	755	c	3	Atomic Structure 	CHM-11-JEE-02	SB-MT-02-17
P002187	125	377	a	2	Basic Concepts of Chemistry	CHM-11-JEE-01	SB-MT-02-17
P002434	265	6908	d	2	Chemical Bonding 	CHM-11-JEE-04	SB-MT-02-17
P003025	153	375	c	2	Atomic Structure 	CHM-11-JEE-02	SB-MT-02-17
P002426	241	301	d	2	States of Matter	CHM-11-JEE-05	SB-MT-02-17
P002269	49	315	b	2	Periodic Properties of Elements	CHM-11-JEE-03	SB-MT-02-17
P012195	53	292	b	2	Thermodynamics	CHM-11-JEE-06	SB-MT-02-17
P002429	274	231	d	1	Chemical Bonding 	CHM-11-JEE-04	SB-MT-02-17
P002252	94	252	b	2	Periodic Properties of Elements	CHM-11-JEE-03	SB-MT-02-17
P002363	264	155	d	3	Thermodynamics	CHM-11-JEE-06	SB-MT-02-17
P009531	183	454	b	3	Atomic Structure 	CHM-11-JEE-02	SB-MT-02-17
P009524	302	279	b	3	Atomic Structure 	CHM-11-JEE-02	SB-MT-02-17
P002250	99	273	d	2	Periodic Properties of Elements	CHM-11-JEE-03	SB-MT-02-17
P004927	311	1566	c	3	Thermodynamics	CHM-11-JEE-06	SB-MT-02-17
P040834	57	145	a	1	Chemical Bonding 	CHM-11-JEE-04	SB-MT-02-17
P003014	188	322	b	1	Basic Concepts of Chemistry	CHM-11-JEE-01	SB-MT-02-17
P002210	133	125	a	1	Atomic Structure 	CHM-11-JEE-02	SB-MT-02-17
P012188	285	778	a	3	Basic Concepts of Chemistry	CHM-11-JEE-01	SB-MT-02-17
P002435	86	795	d	2	Chemical Bonding 	CHM-11-JEE-04	SB-MT-02-17
P002260	195	432	a	2	Periodic Properties of Elements	CHM-11-JEE-03	SB-MT-02-17
P002425	147	378	a	2	States of Matter	CHM-11-JEE-05	SB-MT-02-17
P002366	345	525	a	1	Thermodynamics	CHM-11-JEE-06	SB-MT-02-17
P003128	362	25364	a	2	Dynamics of Motion	PHY-11-JEE-05	SB-MT-02-17
P003725	6252	12828	a	3	Dynamics of Motion	PHY-11-JEE-05	SB-MT-02-17
P003165	187	433	a	2	Motion in Two Dimensions	PHY-11-JEE-04	SB-MT-02-17
P003181	174	785	b	3	Motion in Two Dimensions	PHY-11-JEE-04	SB-MT-02-17
P003184	430	209	a	1	Dynamics of Motion	PHY-11-JEE-05	SB-MT-02-17
P003186	234	256	a	2	Motion in Two Dimensions	PHY-11-JEE-04	SB-MT-02-17
P003190	307	220	c	2	Motion in Two Dimensions	PHY-11-JEE-04	SB-MT-02-17
P003192	311	110	b	1	Motion in Two Dimensions	PHY-11-JEE-04	SB-MT-02-17
P003193	239	283	a	1	Dynamics of Motion	PHY-11-JEE-05	SB-MT-02-17
P003210	8485	13458	a	2	Dynamics of Motion	PHY-11-JEE-05	SB-MT-02-17
P003216	18369	20230	d	2	Dynamics of Motion	PHY-11-JEE-05	SB-MT-02-17
P003217	15855	23386	c	3	Dynamics of Motion	PHY-11-JEE-05	SB-MT-02-17
P003220	10309	7154	c	2	Dynamics of Motion	PHY-11-JEE-05	SB-MT-02-17
P003223	14920	22035	c	2	Dynamics of Motion	PHY-11-JEE-05	SB-MT-02-17
P003269	7061	9663	b	3	Dynamics of Motion	PHY-11-JEE-05	SB-MT-02-17
P003288	32647	34441	d	3	Dynamics of Motion	PHY-11-JEE-05	SB-MT-02-17
P003294	47085	86239	d	3	Dynamics of Motion	PHY-11-JEE-05	SB-MT-02-17
P003241	11158	45537	c	2	Dynamics of Motion	PHY-11-JEE-05	SB-MT-02-17
P003208	9879	23589	b	2	Dynamics of Motion	PHY-11-JEE-05	SB-MT-02-17
P003212	9702	44949	d	3	Dynamics of Motion	PHY-11-JEE-05	SB-MT-02-17
P003726	15034	12839	c	3	Dynamics of Motion	PHY-11-JEE-05	SB-MT-02-17
P004777	476	391	b	3	Units and Measurement	PHY-11-JEE-01	SB-MT-02-17
P009373	78	328	c	1	Units and Measurement	PHY-11-JEE-01	SB-MT-02-17
P009397	208	469	d	2	Units and Measurement	PHY-11-JEE-01	SB-MT-02-17
P004785	353	27916	c	2	Motion in 1D	PHY-11-JEE-02	SB-MT-02-17
